Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,34.740002,34.740002,34.740002,34.740002,34.740002,0
2020-11-03,33.900002,33.900002,33.900002,33.900002,33.900002,600
2020-11-04,33.900002,34.500000,33.900002,34.500000,34.500000,700
2020-11-05,34.500000,34.500000,34.500000,34.500000,34.500000,0
2020-11-06,35.650002,36.639999,35.650002,35.650002,35.650002,1900
2020-11-09,37.099998,37.099998,36.150002,36.150002,36.150002,700
2020-11-10,37.799999,37.799999,36.500000,37.790001,37.790001,600
2020-11-11,38.099998,38.099998,36.110001,36.110001,36.110001,1600
2020-11-12,36.110001,36.110001,36.110001,36.110001,36.110001,0
2020-11-13,36.110001,36.110001,36.110001,36.110001,36.110001,0
2020-11-16,37.700001,37.700001,36.509998,36.509998,36.509998,5000
2020-11-17,37.700001,38.000000,37.700001,37.700001,37.700001,2000
2020-11-18,37.099998,38.279999,37.099998,37.250000,37.250000,11700
2020-11-19,37.770000,37.770000,37.770000,37.770000,37.770000,300
2020-11-20,37.970001,38.279999,37.000000,38.180000,38.180000,4000
2020-11-23,39.160000,39.160000,38.299999,38.400002,38.400002,3300
2020-11-24,38.400002,38.400002,38.400002,38.400002,38.400002,200
2020-11-25,39.099998,39.099998,38.500000,38.500000,38.500000,1500
2020-11-27,38.700001,38.700001,38.700001,38.700001,38.700001,200
2020-11-30,39.099998,39.099998,38.500000,38.500000,38.500000,1400
2020-12-01,38.549999,38.549999,38.500000,38.500000,38.500000,900
2020-12-02,39.160000,39.799999,39.160000,39.799999,39.799999,10600
2020-12-03,40.000000,41.200001,40.000000,41.200001,41.200001,2400
2020-12-04,39.750000,41.209999,39.750000,40.459999,40.459999,4000
2020-12-07,41.930000,42.930000,41.110001,42.270000,42.270000,4200
2020-12-08,42.529999,42.529999,42.000000,42.200001,42.200001,3200
2020-12-09,42.000000,42.540001,41.160000,41.770000,41.770000,4000
2020-12-10,41.200001,41.200001,40.299999,41.099998,41.099998,6000
2020-12-11,41.200001,41.200001,40.209999,40.279999,40.279999,1500
2020-12-14,40.599998,42.110001,40.599998,41.610001,41.610001,3500
2020-12-15,41.700001,42.000000,41.700001,42.000000,42.000000,900
2020-12-16,40.709999,41.799999,40.709999,41.799999,41.799999,1500
2020-12-17,41.000000,41.799999,40.509998,41.790001,41.790001,1700
2020-12-18,41.799999,41.799999,40.820000,40.820000,40.820000,2100
