Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,48.599998,50.759998,48.599998,49.880001,49.880001,4700
2021-06-02,49.700001,50.200001,49.700001,50.200001,50.200001,1000
2021-06-03,50.230000,50.400002,50.000000,50.020000,50.020000,2300
2021-06-04,50.439999,51.919998,50.439999,51.299999,51.299999,5100
2021-06-07,52.000000,52.000000,50.880001,51.000000,51.000000,5900
2021-06-08,51.099998,52.000000,51.099998,52.000000,52.000000,3500
2021-06-09,52.000000,52.000000,50.549999,51.099998,51.099998,2400
2021-06-10,50.500000,51.000000,50.290001,50.750000,50.750000,1600
2021-06-11,51.299999,51.990002,51.299999,51.900002,51.900002,2000
2021-06-14,51.900002,51.990002,51.270000,51.270000,51.270000,2500
2021-06-15,52.189999,52.189999,51.299999,51.299999,51.299999,1400
2021-06-16,50.700001,51.290001,50.700001,51.290001,51.290001,900
2021-06-17,51.200001,51.200001,50.900002,50.900002,50.900002,700
2021-06-18,50.900002,50.900002,50.000000,50.689999,50.689999,2900
2021-06-21,51.700001,51.700001,51.000000,51.000000,51.000000,8200
2021-06-22,51.500000,52.000000,50.750000,51.020000,51.020000,4300
2021-06-23,51.500000,52.500000,50.840000,51.599998,51.599998,4000
2021-06-24,52.000000,52.000000,51.360001,51.360001,51.360001,1400
2021-06-25,51.349998,52.639999,51.349998,52.060001,52.060001,9900
2021-06-28,51.410000,52.430000,51.410000,52.020000,52.020000,2700
2021-06-29,52.000000,52.560001,52.000000,52.209999,52.209999,5000
2021-06-30,52.119999,52.380001,51.250000,52.000000,52.000000,2800
2021-07-01,51.980000,51.980000,50.680000,51.770000,51.770000,4100
2021-07-02,50.500000,50.990002,50.009998,50.110001,50.110001,3000
2021-07-06,50.099998,51.099998,50.099998,50.669998,50.669998,1600
2021-07-07,51.380001,51.380001,50.200001,50.500000,50.500000,2600
2021-07-08,49.869999,49.980000,48.849998,49.090000,49.090000,5800
2021-07-09,48.099998,49.270000,48.099998,48.650002,48.650002,4800
2021-07-12,48.439999,49.700001,48.389999,49.700001,49.700001,7000
2021-07-13,49.200001,49.720001,49.200001,49.450001,49.450001,1100
2021-07-14,50.450001,50.450001,49.070000,49.400002,49.400002,3600
2021-07-15,49.700001,49.779999,49.450001,49.779999,49.779999,900
2021-07-16,49.400002,50.130001,49.400002,49.700001,49.700001,2000
2021-07-19,49.400002,49.980000,48.200001,49.349998,49.349998,3200
2021-07-20,49.349998,49.349998,49.349998,49.349998,49.349998,0
2021-07-21,49.360001,50.049999,49.080002,49.349998,49.349998,2700
2021-07-22,49.669998,49.669998,49.000000,49.200001,49.200001,3000
2021-07-23,49.000000,49.580002,48.580002,49.580002,49.580002,1200
